epoch,brotli_size,soup_size,higher_entropy
24065,487383,8192,0.106606
24129,487268,8192,0.107610
24193,487690,8192,0.104157
24257,487484,8192,0.106162
24321,487349,8192,0.102881
24385,486449,8192,0.107272
24449,486433,8192,0.104188
24513,486022,8192,0.101018
24577,485962,8192,0.102319
24641,485836,8192,0.097337
24705,485651,8192,0.099662
24769,485750,8192,0.099068
24833,485068,8192,0.112663
24897,485107,8192,0.107695
24961,485160,8192,0.103820
25025,484973,8192,0.112434
25089,485244,8192,0.105119
25153,485337,8192,0.111578
25217,486375,8192,0.102894
25281,486381,8192,0.106354
25345,486814,8192,0.103621
25409,486655,8192,0.099020
25473,485331,8192,0.114721
25537,485223,8192,0.112757
25601,484858,8192,0.112195
25665,484932,8192,0.113280
25729,485617,8192,0.112559
25793,485188,8192,0.118708
25857,485362,8192,0.116991
25921,485464,8192,0.110492
25985,485309,8192,0.109293
26049,486001,8192,0.106047
26113,486271,8192,0.110690
26177,486807,8192,0.108556
26241,487599,8192,0.094961
26305,487364,8192,0.101465
26369,487128,8192,0.109699
26433,487028,8192,0.111397
26497,487372,8192,0.111253
26561,486935,8192,0.119024
26625,486950,8192,0.117294
26689,487213,8192,0.113095
26753,487008,8192,0.113317
26817,487536,8192,0.105500
26881,486852,8192,0.112732
26945,486841,8192,0.109884
27009,487225,8192,0.106372
27073,486107,8192,0.120755
27137,485669,8192,0.125143
27201,485401,8192,0.120494
27265,484833,8192,0.130306
27329,485059,8192,0.132552
27393,485068,8192,0.134583
27457,485472,8192,0.133210
27521,485319,8192,0.134334
27585,485390,8192,0.134443
27649,485540,8192,0.135835
27713,485717,8192,0.133909
27777,485874,8192,0.130610
27841,484941,8192,0.138557
27905,484625,8192,0.141183
27969,485108,8192,0.135465
28033,483667,8192,0.149341
28097,483816,8192,0.143700
28161,483830,8192,0.153190
28225,483776,8192,0.157224
28289,484006,8192,0.152430
28353,483367,8192,0.157161
28417,483346,8192,0.158467
28481,483498,8192,0.163298
28545,484314,8192,0.152748
28609,484277,8192,0.145279
28673,483740,8192,0.146614
28737,484382,8192,0.136204
